# C1[F/m] Ceq[F/m]
7.3087e-11 1.25464e-11
2.26508e-11 1.06873e-11
7.07049e-11 1.25109e-11
2.18371e-11 1.0609e-11
5.77671e-11 1.22744e-11
1.98339e-11 1.03981e-11
6.39042e-11 1.23969e-11
5.50515e-11 1.22128e-11
9.12142e-11 1.2762e-11
8.34949e-11 1.26804e-11
3.06567e-11 1.12904e-11
9.97733e-11 1.2839e-11
3.43487e-11 1.14951e-11
5.14392e-11 1.21224e-11
1.49816e-11 9.74706e-12
8.23634e-11 1.26673e-11
1.25682e-12 4.86649e-12
9.00008e-11 1.275e-11
5.24808e-11 1.21495e-11
9.47856e-11 1.27957e-11
3.16008e-11 1.13462e-11
2.82882e-11 1.11382e-11
5.91105e-11 1.2303e-11
3.43718e-11 1.14963e-11
9.58987e-11 1.28057e-11
4.82433e-11 1.20331e-11
4.75256e-11 1.20116e-11
4.07475e-11 1.17795e-11
7.81751e-11 1.26159e-11
8.70365e-11 1.27195e-11
8.48978e-11 1.26962e-11
7.25923e-11 1.25392e-11
8.54814e-12 8.35862e-12
1.28761e-11 9.37863e-12
2.79711e-11 1.11164e-11
1.20002e-11 9.20458e-12
6.8972e-11 1.24837e-11
4.72869e-11 1.20044e-11
4.13914e-11 1.18041e-11
8.78612e-11 1.27281e-11
9.8175e-11 1.28256e-11
2.33374e-11 1.07504e-11
9.78291e-12 8.69513e-12
2.29262e-11 1.07129e-11
5.94629e-11 1.23104e-11
7.39552e-12 8.00139e-12
9.1114e-11 1.2761e-11
4.8606e-11 1.20437e-11
6.83628e-12 7.81044e-12
7.02554e-11 1.2504e-11
9.34864e-11 1.27837e-11
7.17154e-11 1.25262e-11
3.54572e-11 1.15501e-11
6.74279e-11 1.24585e-11
7.23992e-11 1.25364e-11
5.85023e-11 1.22902e-11
1.77856e-11 1.0151e-11
5.53863e-11 1.22206e-11
6.79194e-11 1.24666e-11
5.84983e-11 1.22901e-11
3.32533e-11 1.1438e-11
7.15517e-11 1.25238e-11
2.04767e-11 1.04688e-11
6.57862e-12 7.71814e-12
2.36783e-11 1.07807e-11
1.76502e-12 5.25023e-12
7.57653e-11 1.2584e-11
5.40782e-11 1.21894e-11
4.19677e-11 1.18257e-11
6.77462e-11 1.24638e-11
1.73778e-11 1.00974e-11
8.30393e-11 1.26752e-11
2.48506e-11 1.08806e-11
3.18558e-11 1.13608e-11
7.01786e-11 1.25028e-11
1.778e-11 1.01503e-11
9.60061e-11 1.28067e-11
1.14576e-11 9.08965e-12
8.95255e-11 1.27452e-11
1.97439e-12 5.39884e-12
7.10127e-11 1.25156e-11
8.69875e-11 1.27189e-11
4.42173e-11 1.19056e-11
5.24054e-11 1.21476e-11
6.97098e-11 1.24954e-11
5.69684e-11 1.22568e-11
4.09215e-11 1.17862e-11
7.06681e-11 1.25104e-11
2.40955e-11 1.08171e-11
3.76251e-11 1.16503e-11
7.09196e-11 1.25142e-11
8.19022e-11 1.26619e-11
7.1385e-11 1.25213e-11
6.06955e-11 1.23355e-11
5.2452e-11 1.21488e-11
8.013e-11 1.26405e-11
8.01727e-11 1.2641e-11
5.08804e-11 1.21074e-11
1.0811e-11 8.94485e-12
7.86452e-11 1.26219e-11
7.92773e-11 1.26299e-11
2.47653e-11 1.08736e-11
9.31628e-11 1.27807e-11
8.42464e-11 1.2689e-11
1.20844e-12 4.82815e-12
2.13528e-11 1.05605e-11
8.62279e-11 1.27108e-11
8.26416e-11 1.26706e-11
4.44651e-11 1.1914e-11
3.93668e-11 1.17243e-11
8.43064e-11 1.26896e-11
5.62993e-12 7.35202e-12
4.79563e-11 1.20246e-11
4.73237e-11 1.20055e-11
3.57812e-11 1.15657e-11
3.88249e-11 1.17019e-11
9.98934e-11 1.284e-11
5.47803e-12 7.28923e-12
6.75607e-11 1.24607e-11
4.2385e-11 1.18411e-11
3.93645e-11 1.17243e-11
2.31189e-11 1.07306e-11
3.73947e-12 6.4717e-12
2.05381e-11 1.04754e-11
4.16097e-11 1.18124e-11
3.64223e-11 1.15959e-11
7.22256e-11 1.25338e-11
1.08973e-11 8.96469e-12
6.25025e-11 1.23707e-11
6.73857e-11 1.24578e-11
1.3632e-11 9.51845e-12
6.83207e-11 1.24732e-11
9.65005e-11 1.2811e-11
9.41911e-11 1.27902e-11
4.62784e-11 1.19731e-11
7.08293e-11 1.25128e-11
1.59978e-11 9.90351e-12
9.62108e-11 1.28085e-11
1.97609e-11 1.03899e-11
2.14938e-11 1.05748e-11
9.37193e-12 8.58789e-12
4.80299e-11 1.20268e-11
2.17327e-11 1.05987e-11
4.9575e-12 7.06439e-12
7.33697e-11 1.25505e-11
4.94981e-11 1.20693e-11
9.41362e-11 1.27897e-11
6.10067e-11 1.23417e-11
6.808e-11 1.24693e-11
1.00015e-10 1.2841e-11
9.03462e-11 1.27535e-11
1.78562e-11 1.01601e-11
2.31886e-12 5.63237e-12
3.42215e-11 1.14887e-11
9.49949e-11 1.27976e-11
4.59995e-11 1.19643e-11
2.00484e-11 1.0422e-11
7.4534e-11 1.2567e-11
1.36356e-11 9.5191e-12
1.76769e-11 1.01369e-11
7.69181e-11 1.25995e-11
2.54922e-11 1.09325e-11
2.7569e-11 1.10882e-11
2.41706e-11 1.08235e-11
5.94072e-11 1.23092e-11
1.25743e-11 9.32018e-12
3.7028e-11 1.16236e-11
9.51183e-11 1.27987e-11
1.15013e-11 9.09911e-12
5.17937e-12 7.16211e-12
1.00868e-10 1.2848e-11
9.69854e-11 1.28153e-11
6.22907e-11 1.23667e-11
3.46859e-11 1.15122e-11
3.96515e-11 1.1736e-11
9.12431e-11 1.27623e-11
6.37022e-11 1.23932e-11
3.82426e-11 1.16771e-11
4.68682e-11 1.19915e-11
5.48296e-11 1.22075e-11
7.89216e-11 1.26254e-11
3.21252e-11 1.13761e-11
5.57267e-11 1.22285e-11
4.62128e-11 1.1971e-11
4.77483e-11 1.20183e-11
8.51712e-11 1.26993e-11
7.71427e-11 1.26025e-11
1.66622e-11 9.99937e-12
4.18164e-11 1.18201e-11
5.05369e-11 1.20981e-11
3.31e-11 1.14298e-11
8.48621e-11 1.26958e-11
1.56148e-11 9.84601e-12
8.07758e-11 1.26484e-11
7.06164e-11 1.25096e-11
8.58892e-11 1.27071e-11
8.38639e-11 1.26846e-11
1.53571e-11 9.80632e-12
5.54257e-11 1.22215e-11
8.29881e-11 1.26746e-11
8.88756e-11 1.27386e-11
2.68687e-11 1.10377e-11
5.5029e-11 1.22122e-11
8.78609e-11 1.27281e-11
1.24549e-11 9.29663e-12
4.50918e-11 1.19348e-11
9.76451e-12 8.69043e-12
3.22899e-11 1.13854e-11
9.67643e-11 1.28134e-11
2.80973e-11 1.11251e-11
8.94166e-12 8.47063e-12
6.43531e-11 1.24051e-11
8.16395e-11 1.26588e-11
1.80658e-11 1.01869e-11
3.98134e-11 1.17425e-11
8.6632e-11 1.27151e-11
7.32246e-11 1.25484e-11
3.80946e-11 1.16708e-11
7.76243e-11 1.26088e-11
2.18018e-11 1.06055e-11
1.04006e-11 8.84818e-12
8.01347e-12 8.1986e-12
4.50785e-11 1.19344e-11
6.03549e-12 7.51383e-12
5.29943e-11 1.21626e-11
6.74164e-11 1.24583e-11
3.00675e-11 1.12542e-11
9.1138e-11 1.27613e-11
8.99402e-11 1.27494e-11
9.47583e-11 1.27954e-11
7.02264e-11 1.25035e-11
3.10377e-11 1.13132e-11
8.68223e-11 1.27172e-11
2.58361e-11 1.09595e-11
2.18036e-11 1.06057e-11
7.60385e-11 1.25877e-11
9.69483e-12 8.67253e-12
9.59985e-11 1.28066e-11
6.31401e-11 1.23828e-11
9.4857e-11 1.27963e-11
8.90789e-11 1.27407e-11
5.87738e-11 1.2296e-11
6.045e-11 1.23306e-11
5.33233e-12 7.22783e-12
7.86883e-11 1.26225e-11
4.92609e-11 1.20625e-11
1.4034e-11 9.58923e-12
2.91752e-11 1.11974e-11
2.08982e-12 5.47858e-12
3.02269e-11 1.12641e-11
9.1748e-11 1.27672e-11
8.03332e-11 1.2643e-11
8.18856e-11 1.26617e-11
6.80512e-11 1.24688e-11
5.07729e-11 1.21045e-11
5.77661e-11 1.22743e-11
8.08817e-11 1.26497e-11
4.94602e-11 1.20682e-11
8.91398e-11 1.27413e-11
1.00994e-10 1.28491e-11
2.22906e-11 1.06531e-11
4.74305e-11 1.20088e-11
6.22336e-11 1.23656e-11
7.13123e-11 1.25202e-11
3.00021e-12 6.05782e-12
5.57931e-11 1.22301e-11
9.01996e-11 1.2752e-11
6.33806e-11 1.23872e-11
6.94228e-11 1.24909e-11
3.22622e-11 1.13838e-11
6.92819e-11 1.24887e-11
7.87871e-11 1.26237e-11
5.06859e-11 1.21022e-11
7.09614e-11 1.25148e-11
1.00154e-10 1.28422e-11
2.05609e-11 1.04778e-11
1.22107e-11 9.24767e-12
9.98132e-12 8.74532e-12
3.52681e-11 1.15409e-11
3.58498e-11 1.1569e-11
3.99044e-11 1.17462e-11
4.89452e-11 1.20535e-11
4.86435e-11 1.20448e-11
9.00674e-11 1.27507e-11
8.96406e-11 1.27464e-11
7.10724e-11 1.25165e-11
6.95362e-11 1.24927e-11
3.59565e-11 1.1574e-11
6.64127e-11 1.24413e-11
8.54236e-11 1.2702e-11
6.80078e-11 1.24681e-11
4.89706e-11 1.20542e-11
3.96251e-11 1.17349e-11
9.43753e-12 8.60531e-12
9.18889e-11 1.27685e-11
4.70472e-11 1.19971e-11
5.08247e-11 1.21059e-11
5.43115e-11 1.21951e-11
3.0062e-11 1.12539e-11
7.81238e-11 1.26152e-11
2.69999e-11 1.10473e-11
9.50466e-11 1.2798e-11
6.41172e-11 1.24008e-11
1.59052e-11 9.88977e-12
9.80537e-11 1.28245e-11
6.64125e-11 1.24413e-11
7.81967e-11 1.26162e-11
7.40163e-11 1.25598e-11
6.98786e-11 1.24981e-11
5.57397e-11 1.22288e-11
9.85457e-11 1.28287e-11
7.97041e-11 1.26352e-11
2.14736e-12 5.51776e-12
3.91808e-11 1.17167e-11
8.40001e-11 1.26862e-11
8.32493e-11 1.26776e-11
6.58305e-11 1.24313e-11
8.45581e-11 1.26924e-11
5.50265e-11 1.22122e-11
3.92044e-11 1.17177e-11
2.81471e-11 1.11286e-11
1.58923e-11 9.88785e-12
8.67285e-11 1.27162e-11
7.41066e-11 1.2561e-11
2.28041e-11 1.07016e-11
7.15128e-11 1.25232e-11
1.61276e-11 9.92263e-12
3.81717e-11 1.16741e-11
6.38261e-11 1.23955e-11
4.301e-11 1.18636e-11
4.97387e-11 1.2076e-11
5.0746e-11 1.21038e-11
3.57022e-11 1.15619e-11
7.79129e-11 1.26125e-11
1.00726e-10 1.28469e-11
9.9658e-11 1.28381e-11
3.83442e-11 1.16815e-11
1.07061e-12 4.71707e-12
9.4679e-11 1.27947e-11
8.59275e-11 1.27075e-11
1.57977e-11 9.87369e-12
6.11217e-11 1.2344e-11
2.09106e-12 5.47943e-12
1.22603e-11 9.25769e-12
1.58788e-11 9.88583e-12
4.10408e-11 1.17908e-11
4.71666e-11 1.20007e-11
6.40692e-11 1.23999e-11
4.03789e-11 1.1765e-11
5.98351e-11 1.23181e-11
3.35222e-11 1.14523e-11
4.2807e-11 1.18563e-11
3.40212e-11 1.14784e-11
5.26858e-11 1.21547e-11
7.9574e-11 1.26336e-11
7.17835e-11 1.25273e-11
7.05402e-11 1.25084e-11
5.58291e-11 1.22309e-11
7.20203e-11 1.25308e-11
3.22513e-11 1.13832e-11
1.315e-11 9.43035e-12
7.80125e-11 1.26138e-11
1.35795e-12 4.9456e-12
8.63086e-11 1.27117e-11
6.15615e-11 1.23526e-11
3.02944e-11 1.12683e-11
5.19505e-11 1.21358e-11
1.75472e-11 1.01199e-11
8.50087e-12 8.34485e-12
8.90159e-11 1.27401e-11
9.48724e-11 1.27965e-11
8.24371e-11 1.26682e-11
1.84544e-11 1.02356e-11
5.1313e-11 1.2119e-11
1.49344e-11 9.73948e-12
2.3917e-11 1.08016e-11
1.50385e-11 9.75615e-12
9.59939e-11 1.28065e-11
5.49703e-11 1.22108e-11
6.54433e-11 1.24245e-11
9.65839e-11 1.28118e-11
8.64461e-11 1.27132e-11
6.10894e-11 1.23433e-11
4.23652e-11 1.18403e-11
4.63673e-11 1.19759e-11
